time,latitude,longitude,altitude
238,59.89724,10.520413,13.9
239,59.897251,10.520411,13.9
240,59.897284,10.520401,14.5
241,59.897296,10.5204,14.5
242,59.89733,10.520401,14.7
243,59.897341,10.52041,14.8
244,59.89737,10.520455,15.0
245,59.897377,10.520472,15.0
246,59.8974,10.520521,15.2
247,59.897407,10.520536,15.3
248,59.897434,10.520559,15.4
249,59.897443,10.520563,15.5
250,59.897471,10.520561,15.6
251,59.897481,10.520559,15.7
252,59.897517,10.520556,15.9
253,59.89753,10.520557,15.9
254,59.897558,10.520561,16.1
255,59.897585,10.520566,16.2
256,59.897624,10.520565,16.4
257,59.897637,10.520564,16.4
258,59.897674,10.52056,16.6
259,59.897687,10.520558,16.6
260,59.897722,10.52055,16.8
261,59.897733,10.520546,16.9
262,59.897763,10.520536,17.1
263,59.897772,10.520534,17.2
264,59.897803,10.520532,17.4
265,59.897814,10.52053,17.4
266,59.897847,10.520515,17.7
267,59.897858,10.520509,17.7
268,59.897891,10.520493,18.0
269,59.897901,10.520488,18.0
270,59.897931,10.520468,18.5
271,59.897938,10.520464,18.6
272,59.897958,10.520449,18.8
273,59.897969,10.520442,18.9
274,59.897979,10.520435,19.1
275,59.898006,10.520397,19.4
276,59.898014,10.520384,19.6
277,59.898042,10.520353,19.9
278,59.898053,10.520345,20.1
279,59.898089,10.520331,20.5
280,59.898101,10.520322,20.7
281,59.898136,10.520309,21.1
282,59.898146,10.520305,21.3
283,59.898184,10.520308,21.8
284,59.898197,10.520311,22.0
285,59.898229,10.520329,22.4
286,59.898237,10.520338,22.6
287,59.898257,10.520389,23.0
288,59.898263,10.520412,23.2
289,59.898272,10.520467,23.6
290,59.898283,10.520523,24.0
291,59.898301,10.520577,24.4
292,59.898307,10.520592,24.6
293,59.898323,10.520605,24.8
294,59.898337,10.520617,25.0
295,59.898364,10.520635,25.3
296,59.898373,10.520641,25.5
297,59.898401,10.520653,25.8
298,59.89841,10.520657,25.9
299,59.898437,10.520674,26.3
300,59.898445,10.520681,26.4
301,59.898471,10.520699,26.7
302,59.89848,10.520704,26.8
303,59.89851,10.520709,27.1
304,59.89852,10.52071,27.3
305,59.898553,10.520712,27.6
306,59.898564,10.520714,27.8
307,59.898599,10.520724,28.2
308,59.89861,10.520728,28.3
309,59.89864,10.520731,28.6
310,59.898651,10.520729,28.8
311,59.898685,10.52071,29.2
312,59.898697,10.520701,29.3
313,59.898734,10.520673,29.8
314,59.898746,10.520663,29.9
315,59.898769,10.520621,30.2
316,59.898775,10.520605,30.4
317,59.89879,10.520551,30.7
318,59.898794,10.520531,30.8
319,59.898804,10.520478,31.1
320,59.898807,10.520461,31.1
321,59.898817,10.520408,31.4
322,59.89882,10.520389,31.5
323,59.898825,10.52032,31.7
324,59.898827,10.520294,31.8
325,59.898837,10.520228,32.2
326,59.898841,10.520208,32.3
327,59.89886,10.520169,32.3
328,59.898867,10.520159,32.3
329,59.898893,10.520127,32.4
330,59.898901,10.520116,32.7
331,59.898926,10.520081,33.0
332,59.898934,10.520069,33.1
333,59.898948,10.520047,33.3
334,59.898962,10.520028,33.5
335,59.898977,10.519993,33.9
336,59.89898,10.51998,34.0
337,59.898984,10.519966,34.1
338,59.89899,10.519937,34.4
339,59.898999,10.519916,34.6
340,59.899016,10.519892,35.0
341,59.899025,10.519883,35.2
342,59.899034,10.519874,35.3
343,59.899059,10.519844,35.6
344,59.899067,10.519831,35.6
345,59.899092,10.519788,35.9
346,59.8991,10.519772,36.0
347,59.899124,10.51972,36.3
348,59.899132,10.519702,36.4
349,59.899159,10.51966,36.7
350,59.899168,10.519645,36.8
351,59.899196,10.519604,37.1
352,59.899207,10.519595,37.3
353,59.899238,10.51957,37.5
354,59.899249,10.519561,37.6
355,59.899287,10.519565,38.0
356,59.899301,10.519573,38.1
357,59.899337,10.519592,38.4
358,59.899348,10.519597,38.5
359,59.899384,10.51961,38.8
360,59.899396,10.519612,38.9
361,59.899429,10.519604,39.2
362,59.899439,10.519599,39.3
363,59.899463,10.519569,39.6
364,59.899471,10.519557,39.8
365,59.899492,10.519515,40.1
366,59.899499,10.5195,40.2
367,59.899516,10.519451,40.6
368,59.89952,10.519435,40.8
369,59.899532,10.519386,41.1
370,59.899537,10.519369,41.3
371,59.899557,10.519325,41.7
372,59.899564,10.519312,41.9
373,59.89959,10.519287,42.4
374,59.899599,10.519283,42.5
375,59.899617,10.519274,42.9
376,59.899634,10.519266,43.3
377,59.899661,10.519249,43.9
378,59.89967,10.519242,44.2
379,59.899684,10.519233,44.6
380,59.899696,10.519221,44.9
381,59.899704,10.519205,45.2
382,59.899708,10.519193,45.4
383,59.899713,10.519179,45.7
384,59.899718,10.519164,45.9
385,59.899719,10.519156,46.1
386,59.899719,10.519149,46.2
387,59.899719,10.519149,46.2
388,59.899716,10.519136,46.4
389,59.899717,10.519124,46.6
390,59.899718,10.519117,46.7
391,59.899718,10.519102,46.9
392,59.89972,10.519086,47.2
393,59.899723,10.51908,47.3
394,59.899723,10.51908,47.3
395,59.899737,10.519075,47.8
396,59.899765,10.519073,48.7
397,59.899775,10.519071,49.0
398,59.899794,10.519064,49.6
399,59.899809,10.519059,50.1
400,59.899826,10.519055,50.6
401,59.899842,10.519052,51.1
402,59.899857,10.519051,51.6
403,59.89987,10.51905,52.0
404,59.899878,10.519045,52.3
405,59.899886,10.519036,52.6
406,59.899886,10.519036,52.6
407,59.899895,10.519031,52.9
408,59.899903,10.519031,53.1
409,59.899911,10.519035,53.4
410,59.899918,10.519037,53.6
411,59.899924,10.519041,53.8
412,59.899924,10.519041,53.8
413,59.899924,10.519041,53.8
414,59.899924,10.519041,53.8
415,59.899945,10.519036,54.5
416,59.899952,10.519032,54.8
417,59.899952,10.519032,54.8
418,59.899967,10.519014,55.4
419,59.899979,10.51901,55.8
420,59.899992,10.519008,56.3
421,59.900002,10.519004,56.7
422,59.900013,10.518997,57.1
423,59.900022,10.518984,57.5
424,59.900032,10.518976,57.9
425,59.900041,10.518963,58.3
426,59.900052,10.518952,58.7
427,59.900066,10.518939,59.3
428,59.900082,10.518927,59.9
429,59.900099,10.518926,60.5
430,59.900113,10.518926,61.2
431,59.900128,10.51892,61.5
432,59.900145,10.518913,61.9
433,59.90016,10.518907,62.2
434,59.900176,10.518899,62.5
435,59.900192,10.518893,62.8
436,59.900205,10.51889,63.0
437,59.90022,10.518889,63.3
438,59.900234,10.518888,63.6
439,59.900246,10.518885,63.8
440,59.900256,10.518882,63.9
441,59.900269,10.518873,64.2
442,59.900283,10.518866,64.4
443,59.900303,10.51885,64.7
444,59.900313,10.518846,64.9
445,59.900322,10.518841,65.0
446,59.900335,10.518832,65.2
447,59.900342,10.518821,65.3
448,59.900347,10.518809,65.5
449,59.900365,10.518787,65.7
450,59.900373,10.51878,65.9
451,59.900381,10.518772,66.0
452,59.900393,10.518765,66.1
453,59.900402,10.518754,66.3
454,59.900411,10.51874,66.4
455,59.90042,10.518722,66.6
456,59.900429,10.51871,66.7
457,59.900437,10.5187,66.9
458,59.900459,10.51869,67.2
459,59.900467,10.518683,67.3
460,59.900475,10.518677,67.4
461,59.900495,10.518666,67.6
462,59.900503,10.518664,67.6
463,59.900511,10.518661,67.7
464,59.900533,10.518648,68.1
465,59.900541,10.518641,68.2
466,59.900549,10.518634,68.4
467,59.900562,10.51862,68.7
468,59.900577,10.518603,69.0
469,59.900589,10.518584,69.3
470,59.900599,10.518571,69.6
471,59.900608,10.518567,69.8
472,59.900617,10.518565,70.0
473,59.900624,10.518564,70.2
474,59.900631,10.518557,70.4
475,59.90064,10.518545,70.7
476,59.900649,10.518536,70.9
477,59.900654,10.518525,71.1
478,59.900656,10.518517,71.3
479,59.900655,10.518508,71.4
480,59.900653,10.518502,71.5
481,59.900658,10.518494,71.7
482,59.900668,10.518485,72.0
483,59.900676,10.518482,72.2
484,59.90068,10.518475,72.4
485,59.900681,10.518461,72.6
486,59.900682,10.518434,73.0
487,59.900684,10.518399,73.6
488,59.90069,10.518372,74.1
489,59.900699,10.518352,74.5
490,59.900707,10.518334,74.6
491,59.900718,10.518322,74.7
492,59.900729,10.518316,74.9
493,59.90075,10.51833,75.0
494,59.900757,10.518343,75.1
495,59.900765,10.518355,75.2
496,59.900794,10.518381,75.4
497,59.900807,10.518391,75.6
498,59.900826,10.518394,75.7
499,59.900842,10.518388,75.8
500,59.90087,10.518361,76.0
501,59.900879,10.518348,76.1
502,59.900907,10.518316,77.0
503,59.900915,10.518305,77.0
504,59.900944,10.518275,77.2
505,59.900953,10.518261,77.3
506,59.900982,10.518212,77.4
507,59.90099,10.518197,77.5
508,59.901017,10.518158,77.6
509,59.901026,10.518146,77.7
510,59.901053,10.518117,77.8
511,59.901061,10.518107,77.9
512,59.901091,10.518084,78.0
513,59.901102,10.518077,78.1
514,59.90114,10.518051,78.3
515,59.901153,10.518042,78.4
516,59.901188,10.518019,78.5
517,59.901199,10.518012,78.6
518,59.901232,10.517984,78.8
519,59.901243,10.517973,78.8
520,59.901275,10.517952,79.0
521,59.901286,10.517945,79.1
522,59.901318,10.517924,79.2
523,59.901327,10.517918,79.3
524,59.901356,10.517893,79.4
525,59.901365,10.517884,79.4
526,59.901392,10.517852,79.5
527,59.901401,10.51784,79.6
528,59.901434,10.5178,79.7
529,59.901444,10.517787,79.7
530,59.901472,10.517759,79.7
531,59.90148,10.517751,79.7
532,59.901511,10.517729,79.8
533,59.901522,10.51772,79.8
534,59.901551,10.517688,79.8
535,59.90156,10.517672,79.8
536,59.901581,10.517631,79.7
537,59.901601,10.517583,79.7
538,59.901622,10.517533,79.6
539,59.901644,10.517487,79.6
540,59.901664,10.517444,79.5
541,59.901683,10.517399,79.4
542,59.901702,10.517344,79.3
543,59.901716,10.517299,79.2
544,59.901735,10.517238,79.1
545,59.901741,10.517218,79.1
546,59.901757,10.517173,79.0
547,59.901773,10.517126,78.9
548,59.90179,10.517079,78.7
549,59.901808,10.51703,78.7
550,59.901826,10.516986,78.6
551,59.901843,10.516943,78.6
552,59.901865,10.516883,78.5
553,59.901871,10.516863,78.5
554,59.901893,10.516798,78.5
555,59.901899,10.516775,78.4
556,59.901915,10.516705,78.4
557,59.901919,10.516682,78.4
558,59.901931,10.51662,78.3
559,59.901934,10.516599,78.3
560,59.901941,10.516531,78.3
561,59.901942,10.516505,78.0
562,59.901945,10.516426,78.0
563,59.901945,10.516398,78.0
564,59.901949,10.516345,77.9
565,59.901953,10.516269,77.5
566,59.901955,10.516243,77.5
567,59.901961,10.516187,77.4
568,59.901967,10.516135,77.3
569,59.901974,10.51608,77.2
570,59.901983,10.516029,77.1
571,59.901991,10.515972,77.0
572,59.901998,10.515909,76.9
573,59.902,10.515841,76.8
574,59.901997,10.515765,76.8
575,59.901992,10.515692,76.7
576,59.901991,10.515638,76.7
577,59.901993,10.515581,76.6
578,59.902014,10.515522,76.5
579,59.902024,10.515507,76.5
580,59.902053,10.515466,76.4
581,59.902062,10.515448,76.4
582,59.902081,10.515406,76.4
583,59.902106,10.515357,76.3
584,59.902116,10.515343,76.3
585,59.902146,10.515295,76.2
586,59.902155,10.515276,76.2
587,59.902174,10.515235,76.2
588,59.902194,10.515196,76.1
589,59.902215,10.515161,76.1
590,59.902239,10.51513,76.0
591,59.902262,10.515095,75.9
592,59.902281,10.515055,75.8
593,59.902302,10.515013,75.7
594,59.902324,10.514968,75.6
595,59.902345,10.514931,75.5
596,59.902377,10.514885,75.3
597,59.902389,10.51487,75.2
598,59.902408,10.51483,75.1
599,59.902426,10.514791,75.0
600,59.902445,10.514746,74.9
601,59.902458,10.514693,74.8
602,59.902476,10.514628,74.7
603,59.902483,10.51461,74.7
604,59.902509,10.514566,74.6
605,59.902517,10.514553,74.6
606,59.902548,10.514507,74.6
607,59.902558,10.514489,74.6
608,59.902576,10.51445,74.7
609,59.902592,10.514398,74.8
610,59.90262,10.514356,74.9
611,59.902645,10.514316,75.0
612,59.902671,10.51429,75.1
613,59.902698,10.514278,75.2
614,59.902739,10.514281,75.4
615,59.902752,10.514287,75.4
616,59.902782,10.514313,75.5
617,59.902809,10.51435,75.6
618,59.902831,10.514392,75.6
619,59.902849,10.514438,75.5
620,59.902867,10.514484,75.5
621,59.902885,10.514527,75.4
622,59.902904,10.514566,75.3
623,59.902926,10.514601,75.2
624,59.90295,10.514626,75.0
625,59.902983,10.514647,74.8
626,59.902994,10.514652,74.8
627,59.903033,10.514656,74.5
628,59.903046,10.514657,74.5
629,59.903085,10.514659,74.2
630,59.903097,10.514658,74.2
631,59.903138,10.514655,73.9
632,59.903152,10.514655,73.8
633,59.903182,10.514656,73.7
634,59.903209,10.514656,73.5
635,59.90325,10.514653,73.3
636,59.903264,10.514651,73.2
637,59.903292,10.514645,73.0
638,59.903325,10.514641,72.8
639,59.903355,10.514636,72.6
640,59.903383,10.514631,72.5
641,59.903412,10.514627,72.3
642,59.90344,10.514623,72.2
643,59.903472,10.514617,72.0
644,59.903483,10.514614,71.9
645,59.903523,10.514608,71.7
646,59.903537,10.514605,71.6
647,59.903576,10.514599,71.4
648,59.903589,10.514597,71.3
649,59.903616,10.514592,71.2
650,59.903656,10.514587,70.9
651,59.903669,10.514585,70.8
652,59.903709,10.514578,70.6
653,59.903722,10.514576,70.5
654,59.903762,10.514566,70.3
655,59.903775,10.514561,70.2
656,59.903804,10.514548,70.1
657,59.903842,10.514533,69.9
658,59.903854,10.514528,69.8
659,59.903893,10.514518,69.6
660,59.903905,10.514515,69.6
661,59.903939,10.514503,69.4
662,59.90395,10.514498,69.4
663,59.903986,10.514487,69.2
664,59.903998,10.514482,69.2
665,59.904035,10.514473,69.0
666,59.904047,10.51447,69.0
667,59.904085,10.514464,68.8
668,59.904098,10.514462,68.8
669,59.904127,10.514457,68.6
670,59.904168,10.514448,68.5
671,59.904182,10.514444,68.4
672,59.904211,10.514439,68.3
673,59.904238,10.514435,68.2
674,59.904266,10.514435,68.1
675,59.904293,10.514436,67.9
676,59.904321,10.514441,67.8
677,59.904359,10.514448,67.7
678,59.904371,10.514452,67.6
679,59.904408,10.514452,67.5
680,59.904421,10.514453,67.5
681,59.904457,10.514448,67.4
682,59.904469,10.514446,67.3
683,59.904502,10.514432,67.3
684,59.904513,10.514425,67.2
685,59.904547,10.514399,67.1
686,59.904557,10.51439,67.1
687,59.904591,10.514365,67.0
688,59.904602,10.514356,67.0
689,59.904638,10.514336,67.0
690,59.904649,10.51433,66.9
691,59.904683,10.514309,66.9
692,59.904694,10.514302,66.9
693,59.904729,10.514278,66.8
694,59.904741,10.514271,66.8
695,59.90478,10.51426,66.7
696,59.904793,10.514255,66.7
697,59.904819,10.514245,66.7
698,59.904856,10.514225,66.6
699,59.904867,10.514217,66.6
700,59.904902,10.514193,66.6
701,59.904914,10.514184,66.5
702,59.904948,10.514152,66.5
703,59.904959,10.514143,66.5
704,59.904994,10.514125,66.5
705,59.905006,10.514119,66.5
706,59.905041,10.514097,66.5
707,59.905053,10.514089,66.4
708,59.905088,10.514067,66.4
709,59.905098,10.51406,66.4
710,59.905133,10.514037,66.4
711,59.905145,10.514027,66.4
712,59.905182,10.514004,66.4
713,59.905194,10.514,66.4
714,59.905229,10.514005,66.5
715,59.905239,10.514009,66.5
716,59.905258,10.514005,66.5
717,59.905275,10.513993,66.5
718,59.905305,10.513968,66.5
719,59.905316,10.51396,66.6
720,59.905348,10.51393,66.6
721,59.905359,10.513919,66.6
722,59.905396,10.513894,66.7
723,59.905408,10.513885,66.7
724,59.905445,10.513878,66.7
725,59.905456,10.513876,66.7
726,59.905494,10.513869,66.8
727,59.905506,10.513864,66.8
728,59.905532,10.513849,66.9
729,59.905565,10.513825,66.9
730,59.905575,10.513817,67.0
731,59.905611,10.513791,67.0
732,59.905624,10.513782,67.1
733,59.905656,10.513759,67.1
734,59.905665,10.513753,67.2
735,59.905699,10.513727,67.2
736,59.905711,10.513716,67.3
737,59.905741,10.513678,67.3
738,59.90575,10.513663,67.3
739,59.905782,10.513626,67.4
740,59.905793,10.513614,67.4
741,59.905825,10.513584,67.5
742,59.905835,10.513575,67.5
743,59.905873,10.513547,67.6
744,59.905885,10.51354,67.6
745,59.905921,10.513523,67.6
746,59.905933,10.513517,67.6
747,59.905968,10.513496,67.7
748,59.90598,10.513489,67.7
749,59.906018,10.513474,67.7
750,59.906031,10.513469,67.8
751,59.906061,10.51346,67.8
752,59.90609,10.513447,67.8
753,59.906118,10.513431,67.8
754,59.906145,10.513412,67.8
755,59.906171,10.513393,67.8
756,59.906198,10.513375,67.9
757,59.906238,10.513354,67.8
758,59.906253,10.513348,67.8
759,59.90629,10.513335,67.8
760,59.906301,10.51333,67.8
761,59.906341,10.513318,67.8
762,59.906354,10.513315,67.8
763,59.906393,10.513311,67.7
764,59.906405,10.513308,67.7
765,59.90644,10.513309,67.7
766,59.90645,10.513311,67.7
767,59.906481,10.51331,67.6
768,59.906491,10.513308,67.6
769,59.906525,10.513297,67.6
770,59.906536,10.513295,67.6
771,59.906573,10.513288,67.6
772,59.906585,10.513286,67.6
773,59.906621,10.513281,67.6
774,59.906634,10.513279,67.6
775,59.906673,10.513284,67.5
776,59.906685,10.513288,67.5
777,59.906717,10.513309,67.4
778,59.906728,10.513317,67.4
779,59.906763,10.513342,67.4
780,59.906775,10.51335,67.3
781,59.906803,10.513365,67.3
782,59.906839,10.513379,67.1
783,59.906851,10.513383,67.1
784,59.906879,10.513386,67.1
785,59.906909,10.51339,67.0
786,59.906938,10.513394,66.9
787,59.906975,10.513397,66.8
788,59.906987,10.513398,66.8
789,59.907022,10.513399,66.7
790,59.907033,10.513398,66.7
791,59.907067,10.513386,66.6
792,59.907078,10.513379,66.5
793,59.907108,10.51336,66.5
794,59.907117,10.513352,66.4
795,59.907149,10.513324,66.4
796,59.90716,10.513311,66.3
797,59.907185,10.513281,66.3
798,59.907207,10.51325,66.2
799,59.907238,10.513212,66.2
800,59.907248,10.513199,66.2
801,59.907282,10.513177,66.1
802,59.907294,10.51317,66.1
803,59.907332,10.51316,66.1
804,59.907345,10.513159,66.1
805,59.907376,10.513166,66.2
806,59.90741,10.513201,66.2
807,59.907421,10.513216,66.2
808,59.907444,10.513251,66.2
809,59.907467,10.513284,66.2
810,59.907493,10.513298,66.1
811,59.907529,10.513301,66.0
812,59.90754,10.513297,65.9
813,59.90757,10.513269,65.9
814,59.90758,10.513257,65.8
815,59.907605,10.513221,65.8
816,59.907612,10.513206,65.4
817,59.907628,10.513152,65.5
818,59.907632,10.513132,65.5
819,59.907656,10.513093,65.5
820,59.907664,10.513084,65.5
821,59.907695,10.513068,65.4
822,59.907708,10.51306,65.4
823,59.907744,10.51304,65.2
824,59.907779,10.513025,65.1
825,59.907811,10.51302,64.9
826,59.907842,10.513022,64.8
827,59.907872,10.51302,64.7
828,59.907901,10.513005,64.6
829,59.907929,10.512981,64.5
830,59.907956,10.512953,64.4
831,59.907985,10.512928,64.3
832,59.908015,10.512905,64.2
833,59.908041,10.512888,64.1
834,59.908078,10.512873,63.9
835,59.90809,10.512868,63.9
836,59.908125,10.51286,63.7
837,59.908136,10.512858,63.7
838,59.90817,10.512859,63.5
839,59.90818,10.512861,63.2
840,59.908215,10.512888,63.2
841,59.908226,10.512901,63.1
842,59.908262,10.512952,62.8
843,59.908277,10.512971,62.7
844,59.908311,10.51301,62.5
845,59.90834,10.513043,62.3
846,59.908365,10.513077,62.1
847,59.908389,10.513117,61.9
848,59.908419,10.513164,61.8
849,59.908428,10.51318,61.8
850,59.908459,10.513233,61.6
851,59.908469,10.513252,61.6
852,59.908494,10.5133,61.4
853,59.908501,10.513316,61.4
854,59.908525,10.513368,61.3
855,59.908533,10.513386,61.2
856,59.908558,10.513443,61.1
857,59.908567,10.513462,61.0
858,59.908596,10.513511,60.9
859,59.908605,10.513525,60.9
860,59.908633,10.513572,60.8
861,59.908643,10.513589,60.7
862,59.908674,10.513641,60.6
863,59.908684,10.513659,60.6
864,59.908716,10.513703,60.5
865,59.908726,10.513719,60.5
866,59.908752,10.513757,60.5
867,59.90876,10.51377,60.5
868,59.908786,10.513818,60.4
869,59.908795,10.513833,60.4
870,59.908823,10.513878,60.4
871,59.908831,10.513892,60.4
872,59.90886,10.513928,60.4
